Question,Answer
what rights do eu citizens have under the privacy shield?,the benefits of the US Privacy Act
what theater number was the aurora shooting in?,9
what song is played while raising the american flag?,"""Reveille"""
what is the population of keystone heights florida?,"1,350"
what is the meaning of cc and bcc?,Carbon copy to secondary recipients
what is the name of a camel with 2 humps?,"Bactrian, or two-humped camel (C. bactrianus)"
what is the third book in the lunar chronicles?,Cress
who is the ceo of what's up?,Jan Koum
what must be present for a combustion reaction to occur?,a fuel (the reductant) and an oxidant
what is meant by thin film in physics?,a layer of material ranging from fractions of a nanometer (monolayer) to several micrometers in thickness
what is the oldest street in the philippines?,Colon Street
what class of ship is the carnival glory?,Conquest-class cruise ship
who sang what i like about you originally?,American rock band The Romantics
what is the latest version of chrome for linux?,67.0
who sang the song oh what a lonely boy?,Andrew Gold
what was the lowest barometric pressure for hurricane irma?,914 mbar (hPa; 27.0 inHg)
what was hawaii's primary export to the united states?,coffee
what is katie running from in safe haven?,her abusive husband
what observation led to the theory of seafloor spreading?,"magnetic stripe ""anomalies"" on the ocean floor"
what is the number one movie in the usa?,Jumanji: Welcome to the Jungle
what song did the titanic band play when it sank?,"""Autumn"""
what is the general structure of an url?,a protocol
what percent of the us population controls the wealth?,1%
what languages are spoken in india the most?,Hindi
what type of pasta goes in italian wedding soup?,"usually cavatelli, acini di pepe, pastina, orzo, etc."
what kind of sentence contains an independent clause and a dependent clause?,A complex sentence
what was the book wealth of nations about?,what builds nations' wealth
what is australia's location in the world and region?,Oceania
who sang what are we doing in love?,American country music artist Dottie West with the uncredited vocals of Kenny Rogers
at what age are you no longer a toddler?,36 months
what does fancy dress mean in the uk?,A costume
what was the purpose of the bantu education act?,legalised several aspects of the apartheid system
what type of snake is kaa in jungle book?,Indian rock python
what do the colors on ecuador's flag mean?,Yellow: The crops and the fertile soil.
what is the snow on mars made of?,CO2 ice (dry ice)
what part of dc is howard university in?,northwest
what is the first covenant in the old testament?,the Noahic Covenant
what episode does eleven come in season 1?,Chapter One: The Vanishing of Will Byers
what is the role of a bishop in the bible?,ordain presbyters/bishops and to exercise general oversight
what is the filename extension used for all java source files?,.java
what is the job of the whip in congress?,to ensure party discipline
what is the emperor's role in japan?,"""the symbol of the State and of the unity of the people"""
what disney cartoon character's middle name is fauntleroy?,Donald Fauntleroy Duck
what are the outliers in a data set?,an observation point that is distant from other observations
what does it take to get into the rock and roll hall of fame?,"must receive the highest number of votes, and also greater than 50% of the votes"
what is the most important reason that species are going extinct?,"Explosive, unsustainable human population growth"
what does the m number mean on a pint glass?,imperial fluid ounces
other than water what else has hydrogen bonds?,inorganic molecules such as water
what percentage of the population is naturally blonde?,from 2% naturally blond[3][self-published source] to 16% in the US
what is the definition of an alpine lake?,"lakes or reservoirs at high altitudes, usually starting around 5,000 feet (1524 metres) in elevation above sea level[1] or above the tree line"
whats the most liked picture on instagram 2018?,the name announcement of Kylie Jenner's first child
what was going on in the world in 1900?,U.S. population exceeds 75 million
what does it mean if a car is a fleet vehicle?,"groups of motor vehicles owned or leased by a business, government agency or other organization rather than by an individual or family"
what culture region is germany a part of?,Central Germany
what's the average lifespan of a basset hound?,Median 10–12 years
what are the main crops grown in the united states?,Corn
what is the shannara chronicles season 2 based on?,The Sword of Shannara Trilogy
what do you call initials that stand for something?,acronym
what are the spices in chinese 5 spice powder?,Star anise
what are the ranks in the us navy?,E-1 through E-3 are known as Seamen
